"src","trgt"
"G1","G85"
"G1","G3"
"G1","G88"
"G1","G2"
"G1","G77"
"G1","G0"
"G1","G7"
"G1","G53"
"G1","G36"
"G1","G8"
"G1","G6"
"G1","G4"
"G5","G72"
"G5","G27"
"G5","G11"
"G5","G44"
"G5","G75"
"G5","G87"
"G5","G35"
"G5","G57"
"G5","G73"
"G5","G59"
"G5","G0"
"G5","G7"
"G5","G53"
"G5","G36"
"G5","G8"
"G5","G6"
"G5","G4"
"G5","G67"
"G5","G82"
"G5","G29"
"G5","G13"
"G9","G15"
"G9","G28"
"G9","G61"
"G9","G54"
"G9","G45"
"G9","G38"
"G9","G62"
"G9","G41"
"G9","G49"
"G9","G99"
"G9","G93"
"G9","G21"
"G9","G81"
"G9","G11"
"G9","G69"
"G9","G71"
"G9","G14"
"G9","G40"
"G9","G66"
"G9","G34"
"G9","G51"
"G9","G23"
"G9","G84"
"G9","G55"
"G9","G97"
"G9","G58"
"G9","G48"
"G9","G16"
"G9","G96"
"G9","G37"
"G9","G91"
"G9","G68"
"G9","G52"
"G9","G12"
"G9","G65"
"G9","G0"
"G9","G7"
"G9","G53"
"G9","G36"
"G9","G8"
"G9","G6"
"G9","G4"
"G9","G43"
"G9","G78"
"G9","G17"
"G9","G70"
"G9","G10"
"G18","G46"
"G18","G63"
"G18","G47"
"G18","G56"
"G18","G64"
"G18","G39"
"G18","G19"
"G18","G22"
"G18","G74"
"G18","G24"
"G18","G20"
"G18","G33"
"G18","G83"
"G18","G76"
"G18","G60"
"G18","G31"
"G18","G98"
"G18","G50"
"G18","G0"
"G18","G7"
"G18","G53"
"G18","G36"
"G18","G8"
"G18","G6"
"G18","G4"
"G18","G25"
"G18","G32"
"G18","G42"
"G18","G26"
"G18","G30"
"G62","G45"
"G62","G38"
"G62","G41"
"G77","G2"
"G79","G80"
"G79","G72"
"G79","G86"
"G79","G94"
"G79","G89"
"G79","G95"
"G79","G92"
"G79","G63"
"G79","G47"
"G79","G56"
"G79","G64"
"G79","G39"
"G79","G85"
"G79","G83"
"G79","G76"
"G82","G78"
"G90","G99"
"G90","G93"
"G90","G21"
"G90","G81"
"G90","G11"
"G97","G84"
"G97","G55"
